id;ident;type;name;elevation_ft;municipality;iata_code;score
45056;SCCE;small_airport;El Arenal Airport;397;Cauquenes;;0
45057;SCCQ;small_airport;Tambillos Airport;656;Coquimbo;COW;0
45058;SCEX;small_airport;Río Exploradores Airport;59;Aysén;;0
45060;SCGF;small_airport;Golfo Azul Airport;486;Futrono;;0
45061;SCGV;small_airport;Punta Gaviota Airport;99;Caleta Chañaral De Aceituno;;0
45062;SCML;small_airport;Melipeuco Airport;1388;Melipeuco;;0
45063;SCMR;small_airport;Las Aguilas Oriente Airport;450;Rapel;;0
45064;SCMS;small_airport;Las Moras Airport;512;Longavi;;0
45065;SCNA;small_airport;Fundo La Caña Airport;525;Linares;;0
45066;SCNH;small_airport;Ainhoa Airport;992;Vilcún;;0
45067;SCOB;small_airport;Tabalí Bajo Airport;732;Ovalle;;0
45068;SCOI;small_airport;Los Coipos Airport;318;Hualanne;;0
45069;SCOO;small_airport;Melimoyu Airport;20;Cisnes;;0
45070;SCPI;small_airport;Pullami Airport;804;Coihueco;;0
45071;SCPT;small_airport;La Puerta Airport;509;Santa Cruz;;0
45072;SCQO;small_airport;Quitralco Airport;46;Aysén;;0
45073;SCRR;small_airport;Purrahuín Airport;345;Rio Bueno;;0
45074;SCRS;small_airport;El Rosario Airport;804;Cartagena;;0
45075;SCRV;small_airport;La Verónica Airport;1280;Vilcún;;0
45076;SCRZ;small_airport;El Carrizal Airport;492;Marchigue;;0
45077;SCSP;small_airport;El Sobrante Airport;2559;Petorca;;0
45078;SCTA;small_airport;Santa Luisa Airport;1818;Santa Barbara;;0
45079;SCTH;small_airport;Tres Chorrillos Airport;322;San Gregorio;;0
45080;SCYO;small_airport;Poyo Airport;13;El Chaiten;;0
45081;SCYU;small_airport;Cuyumaique Airport;443;Purranque;;0
45082;SCZB;small_airport;Pozo Brujo Airport;394;La Unión;;0
308227;SCBU;small_airport;El Baúl Airstrip;3070;Molina;;0
313732;SCPQ;small_airport;Mocopulli Airport;528;Dalcahue;MHC;0
314773;CL-0004;small_airport;Cinco de Enero Airport;84;Santa Maria;;0
314774;CL-0005;small_airport;Oazy Harbour Airport;161;;;0
314775;CL-0006;small_airport;Onaisin Airport;39;Onaisin;;0
314781;CL-0007;small_airport;Arco Iris Airport;342;Rio Grande;;0
